relation,sbert_f1,clip_text_f1,clip_image_f1,clip_concat_f1,clip_text_gain,clip_image_gain,clip_concat_gain,image_vs_text
touching,0.9892583427620458,0.9814817622759058,0.4694666933844789,0.901715402326189,-0.00777658048614005,-0.5197916493775669,-0.08754294043585686,-0.5120150688914269
on top of,0.9514806837641311,0.9513900154326237,0.488375182445802,0.7243870235120589,-9.066833150739306e-05,-0.46310550131832906,-0.22709366025207223,-0.46301483298682167
far away from,0.9635007705284713,0.864961983537912,0.49470359016989657,0.49470359016989657,-0.09853878699055929,-0.4687971803585747,-0.4687971803585747,-0.3702583933680154
behind,0.9721972371719476,0.7867609680096341,0.48324584789349095,0.49131654740247377,-0.18543626916231348,-0.48895138927845666,-0.48088068976947385,-0.3035151201161432
under,0.8754179478556026,0.7803113519720452,0.48611575777852123,0.54341228488518,-0.09510659588355741,-0.38930219007708133,-0.33200566297042255,-0.2941955941935239
at the left side of,0.9143076652994193,0.7310176557074901,0.49095246222367483,0.49095246222367483,-0.1832900095919292,-0.4233552030757445,-0.4233552030757445,-0.24006519348381528
in front of,0.921424670928249,0.7334894030955846,0.4822006331275861,0.48411994785681206,-0.18793526783266434,-0.4392240378006629,-0.4373047230714369,-0.25128876996799854
at the right side of,0.9315489830024456,0.6327849432718193,0.4888519134775374,0.4888519134775374,-0.29876403973062626,-0.44269706952490817,-0.44269706952490817,-0.1439330297942819
above,0.8598686557445221,0.638688969818741,0.4921642398006035,0.4921642398006035,-0.22117968592578108,-0.3677044159439186,-0.3677044159439186,-0.14652473001813754
left of,0.9403229076079768,0.5436818243726224,0.49490299243669844,0.49490299243669844,-0.3966410832353544,-0.4454199151712783,-0.4454199151712783,-0.048778831935923916
facing away from,0.9534594357122955,0.496029914540958,0.496029914540958,0.496029914540958,-0.4574295211713375,-0.4574295211713375,-0.4574295211713375,0.0
facing,0.9405843876637248,0.4973459829470398,0.4927679721302617,0.4927679721302617,-0.44323840471668496,-0.4478164155334631,-0.4478164155334631,-0.004578010816778111
inside,0.8419983589842591,0.5819461312567922,0.4941710992619354,0.4941710992619354,-0.26005222772746694,-0.3478272597223237,-0.3478272597223237,-0.08777503199485676
on,0.7722690768313223,0.6624618990675316,0.48635632650459737,0.48635632650459737,-0.10980717776379068,-0.2859127503267249,-0.2859127503267249,-0.17610557256293424
at the edge of,0.900602681085636,0.5015199978357748,0.49503582531179724,0.49503582531179724,-0.3990826832498612,-0.4055668557738388,-0.4055668557738388,-0.006484172523977594
contains,0.6630110304438818,0.6506250758576917,0.4919962824693225,0.4919962824693225,-0.012385954586190073,-0.1710147479745593,-0.1710147479745593,-0.15862879338836922
beneath,0.6234790565876225,0.6831993691560285,0.49172733289212445,0.49172733289212445,0.05972031256840604,-0.13175172369549804,-0.13175172369549804,-0.19147203626390408
far from,0.6925024074664814,0.4963604084112501,0.4963604084112501,0.4963604084112501,-0.19614199905523128,-0.19614199905523128,-0.19614199905523128,0.0
away from,0.6561334906231927,0.5148054460168199,0.49655850540806296,0.49655850540806296,-0.14132804460637283,-0.15957498521512975,-0.15957498521512975,-0.018246940608756923
at the back of,0.6663869531417365,0.49787512258908145,0.49787512258908145,0.49787512258908145,-0.168511830552655,-0.168511830552655,-0.168511830552655,0.0
in the middle of,0.6588250490271012,0.4980720128626427,0.4980720128626427,0.4980720128626427,-0.16075303616445846,-0.16075303616445846,-0.16075303616445846,0.0
below,0.6375964498285331,0.5243510285398915,0.49377100168437005,0.49377100168437005,-0.11324542128864168,-0.1438254481441631,-0.1438254481441631,-0.030580026855521414
part of,0.5999661874866693,0.4972176759410802,0.4972176759410802,0.4972176759410802,-0.10274851154558912,-0.10274851154558912,-0.10274851154558912,0.0
in,0.5585836225989628,0.49387108650017,0.49387108650017,0.49387108650017,-0.0647125360987928,-0.0647125360987928,-0.0647125360987928,0.0
next to,0.545292741942915,0.492868453910743,0.492868453910743,0.492868453910743,-0.05242428803217197,-0.05242428803217197,-0.05242428803217197,0.0
parallel to,0.5289063680798218,0.4980720128626427,0.4980720128626427,0.4980720128626427,-0.030834355217179144,-0.030834355217179144,-0.030834355217179144,0.0
beside,0.5098841943773749,0.49553335965769696,0.49553335965769696,0.49553335965769696,-0.014350834719677907,-0.014350834719677907,-0.014350834719677907,0.0
adjacent to,0.4983343045853408,0.4983343045853408,0.4983343045853408,0.4983343045853408,0.0,0.0,0.0,0.0
perpendicular to,0.49830152883103435,0.49830152883103435,0.49830152883103435,0.49830152883103435,0.0,0.0,0.0,0.0
off,0.4982359773224214,0.4982359773224214,0.4982359773224214,0.4982359773224214,0.0,0.0,0.0,0.0
over,0.4982359773224214,0.4982359773224214,0.4982359773224214,0.4982359773224214,0.0,0.0,0.0,0.0
surrounding,0.49787512258908145,0.49787512258908145,0.49787512258908145,0.49787512258908145,0.0,0.0,0.0,0.0
close to,0.49780944242199043,0.49780944242199043,0.49780944242199043,0.49780944242199043,0.0,0.0,0.0,0.0
right of,0.4975466143277723,0.4975466143277723,0.4975466143277723,0.4975466143277723,0.0,0.0,0.0,0.0
across from,0.4975137312527938,0.4975137312527938,0.4975137312527938,0.4975137312527938,0.0,0.0,0.0,0.0
near,0.4974150820278581,0.4974150820278581,0.4974150820278581,0.4974150820278581,0.0,0.0,0.0,0.0
